query_id	dada2_species	dada2_lineage
364aca6c1f5b4bfbdfdef74c98cc0e2e	Streptococcus parasanguinis	1318 1301 1300 186826 91061 1239 1783272 2 131567 
36f595c21680faa2a98189916d62af39	Barnesiella intestinihominis	487174 397864 2005519 171549 200643 976 68336 1783270 2 131567 
3b46486ac7ff4b66f690bd03fe6af0ba	Prevotella copri	165179 838 171552 171549 200643 976 68336 1783270 2 131567 
3d7e91d7998b1d6fe149a0b4d49186ee	Streptococcus parasanguinis	1318 1301 1300 186826 91061 1239 1783272 2 131567 
3f6c1be7bd9f7e8282dd07ed8494667d	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
45c91b5f15060adec06841782981de9e	Dialister succinatiphilus	487173 39948 31977 1843489 909932 1239 1783272 2 131567 
4930f515dc47987f2ecb43467c618cdc	Anaerostipes hadrus	649756 207244 186803 186802 186801 1239 1783272 2 131567 
498305fa980c4e202e147c688f2f9a03	Intestinimonas butyriciproducens	1297617 1392389 538999 186802 186801 1239 1783272 2 131567 
49e8aeb07812a1ad3e41f823fbf09aba	Abiotrophia defectiva	46125 46123 186827 186826 91061 1239 1783272 2 131567 
4b591d3a7e809eee6576b38873a37acd	Propionibacterium freudenreichii	1744 1743 31957 85009 1760 201174 1783272 2 131567 
4e5bf37c66b082e90373ee7e487a12da	Bacteroides xylanisolvens	371601 816 815 171549 200643 976 68336 1783270 2 131567 
50056ec627d91eec90740af446cb6750	Streptococcus australis	113107 1301 1300 186826 91061 1239 1783272 2 131567 
51f9e3f059d681f84ee14d85ecff71be	Veillonella dispar	39778 29465 31977 1843489 909932 1239 1783272 2 131567 
558d827e118096daa3954b56ce11da76	Victivallis vadensis	172901 172900 255528 278082 1313211 256845 1783257 2 131567 
55a8db893790584864fd8a5b4b906826	Alistipes shahii	328814 239759 171550 171549 200643 976 68336 1783270 2 131567 
58f31af4ce04a28957999da1ab8e9104	Bacteroides thetaiotaomicron	818 816 815 171549 200643 976 68336 1783270 2 131567 
5a7a85dd585fb817361c2ff0e45c41ac	Sutterella wadsworthensis	40545 40544 995019 80840 28216 1224 2 131567 
5b482e2745bd256dc1c475093d8bfbef	Christensenella hongkongensis	270498 990721 990719 186802 186801 1239 1783272 2 131567 
5c096134f63413d295c847d953c84102	Bacteroides uniformis	820 816 815 171549 200643 976 68336 1783270 2 131567 
5f679ea11ca4f6e69f09202129069046	Bacteroides cellulosilyticus	246787 816 815 171549 200643 976 68336 1783270 2 131567 
5f98dee5f627e6288b0344678643d342	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
60ef9b0ced7f50edf95e960eaf58933d	Lactobacillus delbrueckii	1584 1578 33958 186826 91061 1239 1783272 2 131567 
632709d511564253092dffe31cdc7eae	Blautia hansenii	1322 572511 186803 186802 186801 1239 1783272 2 131567 
63da67a888af9358a6e5eacce8d02cf4	Streptococcus parasanguinis	1318 1301 1300 186826 91061 1239 1783272 2 131567 
6451bd6b2889748c766c388b93fba921	Desulfovibrio fairfieldensis	44742 872 194924 213115 28221 68525 1224 2 131567 
6451c34a07e9d1b34d9045e3dd539dde	Abiotrophia defectiva	46125 46123 186827 186826 91061 1239 1783272 2 131567 
64d0217a0a9cf8de8d693424a0168820	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
64dfd257413618d54e4bd62c0693d49d	Prevotella corporis	28128 838 171552 171549 200643 976 68336 1783270 2 131567 
680564157327f1b06d30382e7e9c4325	Ruminococcus champanellensis	1161942 1263 216572 186802 186801 1239 1783272 2 131567 
681da483c3cb1fd6daedcd13f2dfe304	Bacteroides thetaiotaomicron	818 816 815 171549 200643 976 68336 1783270 2 131567 
6a60b04a69cdd7c0c549fe0b5668ca10	Erysipelatoclostridium ramosum	1547 1505663 128827 526525 526524 1239 1783272 2 131567 
6af5f8ea781a98464482a500ff544d17	Bacteroides uniformis	820 816 815 171549 200643 976 68336 1783270 2 131567 
6b040df34e53e089f80f2bf30c43a9e0	Anaerostipes hadrus	649756 207244 186803 186802 186801 1239 1783272 2 131567 
6b8c2ba9b082ed1fda852e911e91b570	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
6de29609de13fe9495d7ac21d9b4aeba	Odoribacter laneus	626933 283168 1853231 171549 200643 976 68336 1783270 2 131567 
6fafc81053721d8f042f9c53aca228a5	Prevotella denticola	28129 838 171552 171549 200643 976 68336 1783270 2 131567 
70673c80ddf541ceeb55dcf07cf8a355	Prevotella buccalis	28127 838 171552 171549 200643 976 68336 1783270 2 131567 
72207a5ede6bea6caf5dc4d4d037560c	Parafannyhessea umbonata	604330 2847312 1643824 84999 84998 201174 1783272 2 131567 
72cec3ea59ef46d30b9503e3cb27ac5b	Veillonella parvula	29466 29465 31977 1843489 909932 1239 1783272 2 131567 
73eb72cdc47d2eac6cf7b43845ed9379	Leuconostoc gelidum	1244 1243 33958 186826 91061 1239 1783272 2 131567 
7424aa9f2973e9465339841c2b1da0ad	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
74bde5aec91603030565aa6390cead24	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
7635ab9d8a511fc6c9e6b25b1a3603d6	Granulicatella adiacens	46124 117563 186828 186826 91061 1239 1783272 2 131567 
7695d957e3ea939d52f665221947db7e	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
7947d8d6ece13ba4b53250545e349c9b	[Clostridium] saccharogumia	341225 1505663 128827 526525 526524 1239 1783272 2 131567 
79d404528306249c441eabefe7580715	Bacteroides fragilis	817 816 815 171549 200643 976 68336 1783270 2 131567 
7cbfc7d00828d9462e108c255de92e07	Haemophilus parainfluenzae	729 724 712 135625 1236 1224 2 131567 
7ced70afd00e3b9313b058e19cf6e2f9	Odoribacter splanchnicus	28118 283168 1853231 171549 200643 976 68336 1783270 2 131567 
7f965150f4a2096566e3af77253087c1	Collinsella stercoris	147206 102106 84107 84999 84998 201174 1783272 2 131567 
80be4d4ad3022ae76ca8682ffd2a2d35	Streptococcus sobrinus	1310 1301 1300 186826 91061 1239 1783272 2 131567 
80facb5d4e8c8b60edcaf40dbe765724	Bacteroides stercoris	46506 816 815 171549 200643 976 68336 1783270 2 131567 
814fc894d244a6de045169396f2fdcd6	Phocaeicola dorei	357276 909656 815 171549 200643 976 68336 1783270 2 131567 
837aaf91963b7190e50949392aff105f	Dialister invisus	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
861add376149471d2678605fc49c6b35	Dialister invisus	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
89db618c70c97493128ff803d476ea4c	Alistipes putredinis	28117 239759 171550 171549 200643 976 68336 1783270 2 131567 
8c327748688170e8d35def97356103b9	Megasphaera micronuciformis	187326 906 31977 1843489 909932 1239 1783272 2 131567 
8c646299b6c6c5ce0d6c1f22a78c818a	Streptococcus salivarius	1304 1301 1300 186826 91061 1239 1783272 2 131567 
8e87e7e09defe80ee88632b56c4818b1	Bacteroides thetaiotaomicron	818 816 815 171549 200643 976 68336 1783270 2 131567 
956485488d2278060d6d8d0af2d6f50e	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
984d0c65c3e9d221ed89bde2b0f01846	Adlercreutzia equolifaciens	446660 447020 1643826 1643822 84998 201174 1783272 2 131567 
986dcfc7bdf1baea786fdbdab5a9ce94	Ruminococcus bicirculans	1160721 1263 216572 186802 186801 1239 1783272 2 131567 
9986863aea6cfec02f5f77359aa1bf3a	Eggerthella lenta	84112 84111 1643826 1643822 84998 201174 1783272 2 131567 
9b66d8f6941971aff3fe8b53d160dd4c	Parasutterella excrementihominis	487175 577310 995019 80840 28216 1224 2 131567 
9c58eb833d508f8b81a474878c8dcb11	Streptococcus salivarius	1304 1301 1300 186826 91061 1239 1783272 2 131567 
a296e5da12bd93ec3cb2eef1b0afaaf9	Phocaeicola vulgatus	821 909656 815 171549 200643 976 68336 1783270 2 131567 
a7032fdfc4ea56bde849fc960445d212	Bacteroides salyersiae	291644 816 815 171549 200643 976 68336 1783270 2 131567 
a82a5a7c35c28c40ed5a305f97da5279	Lactococcus lactis	1358 1357 1300 186826 91061 1239 1783272 2 131567 
a95cb1c4c21074fdf445ba5df695ae1a	Anaerostipes caccae	105841 207244 186803 186802 186801 1239 1783272 2 131567 
aa0a0e2a0a04444d2c7921361a64f31a	Fusobacterium mortiferum	850 848 203492 203491 203490 32066 2 131567 
ab88d563a88ca92158e2ac276d7071a0	Rothia mucilaginosa	43675 32207 1268 85006 1760 201174 1783272 2 131567 
ac656dc660c024bbf2f303abd652fbec	Acidaminococcus intestini	187327 904 909930 1843488 909932 1239 1783272 2 131567 
ae218b0c831c009018603ea094d96eb7	Lactococcus lactis	1358 1357 1300 186826 91061 1239 1783272 2 131567 
aea54e4c0dd78ecae2f92b5be4f7436f	Bilophila wadsworthia	35833 35832 194924 213115 28221 68525 1224 2 131567 
af9161e327d7babaaf961277afefe572	Flavonifractor plautii	292800 946234 216572 186802 186801 1239 1783272 2 131567 
b0318553b2d6763a851e26a8ec4d25e3	Bacteroides uniformis	820 816 815 171549 200643 976 68336 1783270 2 131567 
b1a394d813ea95147b82ffd66bd0399f	Porphyromonas uenonis	281920 836 171551 171549 200643 976 68336 1783270 2 131567 
b23601a79bdb072d8efc3f70d8eed29c	Prevotella stercorea	363265 838 171552 171549 200643 976 68336 1783270 2 131567 
b3a1af0e030e4eb247b7533fc89acdbd	Streptococcus parasanguinis	1318 1301 1300 186826 91061 1239 1783272 2 131567 
b43a3d80a84470a4cff65bd074d53ee2	Bacteroides clarus	626929 816 815 171549 200643 976 68336 1783270 2 131567 
b6456b8ce8056704aa680a832d2cf148	Gemella sanguinis	84135 1378 539738 539002 1385 91061 1239 1783272 2 131567 
b6993f8f0827c65d30e2c10ce72a49a7	Veillonella parvula	29466 29465 31977 1843489 909932 1239 1783272 2 131567 
bb5d4ba03483c889d3d701720af42132	Alistipes onderdonkii	328813 239759 171550 171549 200643 976 68336 1783270 2 131567 
bc9081eb9eecc07cfb249c79b578ab7e	Phocaeicola coprophilus	387090 909656 815 171549 200643 976 68336 1783270 2 131567 
bee4010c13b4414d786bfca2b8060bf1	Faecalitalea cylindroides	39483 1573534 128827 526525 526524 1239 1783272 2 131567 
bf5c6c0381f4a89349980055f2743786	Lactococcus garvieae	1363 1357 1300 186826 91061 1239 1783272 2 131567 
bfeaeba40cbdf555456909bc16cffe75	Lactobacillus acidophilus	1579 1578 33958 186826 91061 1239 1783272 2 131567 
c068148aa77bd11220bb02149075a311	Bacteroides ovatus	28116 816 815 171549 200643 976 68336 1783270 2 131567 
c07cb7813a3a73bf8829edbb87fb8a22	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
c0a20f8e5549ccd4fb5e49dc71bf3a87	Parabacteroides distasonis	823 375288 2005525 171549 200643 976 68336 1783270 2 131567 
c15353f9d95feec40688482f197bfcea	Faecalibacterium prausnitzii	853 216851 216572 186802 186801 1239 1783272 2 131567 
c18da2212983b2e6954be8edb53a7f7a	Roseburia hominis	301301 841 186803 186802 186801 1239 1783272 2 131567 
c3c8157c93c9444c107a3ad7ebf528b4	[Eubacterium] sulci	143393 543314 538999 186802 186801 1239 1783272 2 131567 
c5f5334b2674365dffad1dd147b311df	Alistipes indistinctus	626932 239759 171550 171549 200643 976 68336 1783270 2 131567 
c7038693fc6da2997cc40cc9611f5920	Dorea longicatena	88431 189330 186803 186802 186801 1239 1783272 2 131567 
c7b0484c102dfe11f370bb2ffcb743ca	Dialister invisus	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
ca7550599717bbf5509bf8fa0c1fb937	Akkermansia muciniphila	239935 239934 1647988 48461 203494 74201 1783257 2 131567 
cc7f2623ea4b22c36f569b5f6b414ccd	Streptococcus parasanguinis	1318 1301 1300 186826 91061 1239 1783272 2 131567 
cd7d36714ecb396c397a259022852c0b	Bacteroides fragilis	817 816 815 171549 200643 976 68336 1783270 2 131567 
d3a65b970694a46a7f0b3cc7020e391b	Adlercreutzia equolifaciens	446660 447020 1643826 1643822 84998 201174 1783272 2 131567 
d3e0848b7e985e07516cc0b23665a595	Roseburia faecis	301302 841 186803 186802 186801 1239 1783272 2 131567 
d4164fb1a92a94019621edbb0978c095	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
d4904ac227ef885bf692b48bab9bf8d4	Roseburia inulinivorans	360807 841 186803 186802 186801 1239 1783272 2 131567 
d77ae59a672c70e3d6c0789416cf9b9d	Eggerthella lenta	84112 84111 1643826 1643822 84998 201174 1783272 2 131567 
d77f5c0cd68a17a6c3d9809b220998eb	Bacteroides ovatus	28116 816 815 171549 200643 976 68336 1783270 2 131567 
da6cf57ab126c93ad75df26d1e371527	Rothia mucilaginosa	43675 32207 1268 85006 1760 201174 1783272 2 131567 
de0193dd2c17c1343956f2b76e786461	Solobacterium moorei	102148 123375 128827 526525 526524 1239 1783272 2 131567 
e2bd3de6009722f124da0f88f9011d4f	Bacteroides ovatus	28116 816 815 171549 200643 976 68336 1783270 2 131567 
e59f7f32d00077463fdb007136831c16	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
eb0dcd901d97cfb3295432b597825637	Butyricimonas faecihominis	1472416 574697 1853231 171549 200643 976 68336 1783270 2 131567 
ebfff0128bd23c0b640b81b45f07f954	Collinsella aerofaciens	74426 102106 84107 84999 84998 201174 1783272 2 131567 
ec8daa4d0e7c511c79df1ecb8d76c889	Turicibacter sanguinis	154288 191303 2810281 526525 526524 1239 1783272 2 131567 
ee943fde1740b61171dee24d0dbcd82e	Dorea longicatena	88431 189330 186803 186802 186801 1239 1783272 2 131567 
eef3b155b466e262e294dd6e58ccfc9c	Ligilactobacillus salivarius	1624 2767887 33958 186826 91061 1239 1783272 2 131567 
f05bffe03fdc75433172d968a249cda6	Parabacteroides merdae	46503 375288 2005525 171549 200643 976 68336 1783270 2 131567 
f1ba3461e82c8b8a7a4bcf81eed4b4e6	Streptococcus sanguinis	1305 1301 1300 186826 91061 1239 1783272 2 131567 
f3a8a784becf99e8e42f603a2405daf1	Citrobacter farmeri	67824 544 543 91347 1236 1224 2 131567 
f57e26c3dc5ad2383ba952ac7d09103a	Ligilactobacillus ruminis	1623 2767887 33958 186826 91061 1239 1783272 2 131567 
f598225d71e7056c859ab3586cd4c257	Alistipes shahii	328814 239759 171550 171549 200643 976 68336 1783270 2 131567 
f738f5ec9cd9190cc960d5b6743203e5	Bacteroides thetaiotaomicron	818 816 815 171549 200643 976 68336 1783270 2 131567 
f7f1b7f95e05a5d48fd9e6859fd7bb1f	[Clostridium] hylemonae	89153 1506553 186803 186802 186801 1239 1783272 2 131567 
f860341e1c9ab2477e69192a68432ae9	Christensenella minuta	626937 990721 990719 186802 186801 1239 1783272 2 131567 
f9daf316526ebf4d2d2516d60523d2cd	Escherichia coli	562 561 543 91347 1236 1224 2 131567 
fba5c265662fd604871f3d96f71e6dd9	Campylobacter hominis	76517 194 72294 213849 29547 68525 1224 2 131567 
fe5424b10fa04ea554b47672442fb1e0	Dialister invisus	218538 39948 31977 1843489 909932 1239 1783272 2 131567 
00aa1b4c333ce60ccb86b764eb11df11	Streptococcus australis	113107 1301 1300 186826 91061 1239 1783272 2 131567 
015b0db594fed54fc6b0f144a1d422d6	Odoribacter splanchnicus	28118 283168 1853231 171549 200643 976 68336 1783270 2 131567 
01e60e11a1ab7b02ac251cfda8538aa2	Anaerotruncus colihominis	169435 244127 216572 186802 186801 1239 1783272 2 131567 
0394e0aaef3f8b17e5ea74907ef0c21c	Lactiplantibacillus plantarum	1590 2767842 33958 186826 91061 1239 1783272 2 131567 
03af92309a0c0e6630180bcf96157ba6	Schaalia turicensis	131111 2529408 2049 2037 1760 201174 1783272 2 131567 
03d0bffe81e5c67546ef521707d8f782	Streptococcus salivarius	1304 1301 1300 186826 91061 1239 1783272 2 131567 
041811ee26126e309eaf865ed6c760b8	Acidaminococcus fermentans	905 904 909930 1843488 909932 1239 1783272 2 131567 
